TVid,番組名,ジャンル,放送日,プライム,開始時,開始分,終了時,終了分,チャンネル,放送局
TVWatch.121703022300,ＷＢＳ【長距離バス続々高級化…特需に沸く意外な業界▽水族館も車も“桜色”に演出】,,2017/03/02,0,23,0,23,58,12,テレビ東京
TVWatch.121702172300,ＷＢＳ【飲食店が来客数を予測できる！？新ＡＩ▽圏央道が開通へ人の流れが激変する！？】,,2017/02/17,0,23,0,23,58,12,テレビ東京
TVWatch.121702282300,ＷＢＳ▽“体脂肪”を乳酸菌で減らす…！？機能性カルピスが登場▽就活解禁で企業は…,,2017/02/28,0,23,0,23,58,12,テレビ東京
TVWatch.121703202300,ＷＢＳ▽「ひらがなも忘れた…」ついに石原元知事証人喚問▽世界最大級ＩＴ展示会,,2017/03/20,0,23,0,23,58,12,テレビ東京
TVWatch.121703312300,ＷＢＳ▽４月新生活…家電もスマホもコンビニも格安に！？▽破綻旅行会社の内定者は？,,2017/03/31,0,23,0,23,58,12,テレビ東京
TVWatch.121702232300,ＷＢＳ▽アマゾンが車の試乗体験を宅配！？その狙いとは▽東芝の米原発事業で新証言！？,,2017/02/23,0,23,0,23,58,12,テレビ東京
TVWatch.121702152300,ＷＢＳ▽エコカーの本命！？新型プリウス▽飲食店では全面禁煙！？新法案に賛否両論,,2017/02/15,0,23,0,23,58,12,テレビ東京
TVWatch.121703082400,ＷＢＳ▽お得な朝食セットが続々登場のワケ▽金正男の長男がビデオメッセージ！？,,2017/03/08,0,24,0,24,58,12,テレビ東京
TVWatch.121701312300,ＷＢＳ▽キリンが４０種類“クラフトビール”で勝負！？▽発行部数４億超の旅行誌とは,,2017/01/31,0,23,0,23,58,12,テレビ東京
TVWatch.121702102300,ＷＢＳ▽トランプ＆安倍会談…最新情報をライブで！▽大行列の牛カレーうどん店とは,,2017/02/10,0,23,0,23,58,12,テレビ東京
TVWatch.121702012300,ＷＢＳ▽トランプ氏の標的？メキシコ自動車工場地帯を独自取材▽銀座に最大級商業施設,,2017/02/01,0,23,0,23,58,12,テレビ東京
TVWatch.121703152300,ＷＢＳ▽よその会社の給料は！？本日賃上げ集中回答日▽ニトリが百貨店の中に！？,,2017/03/15,0,23,0,23,58,12,テレビ東京
TVWatch.121703222300,ＷＢＳ▽ロボットが銀座を観光案内！？▽いま競馬場が大変貌▽東電が新再建計画,,2017/03/22,0,23,0,23,58,12,テレビ東京
TVWatch.121703282300,ＷＢＳ▽世界初！難病も治る！？ＩＰＳ細胞移植手術▽東電＆中部電力が火力発電を統合,,2017/03/28,0,23,0,23,58,12,テレビ東京
TVWatch.121702032300,ＷＢＳ▽今夜は激動　安倍総理がトヨタ社長＆米国防長官と会談へ▽“マック”が新商品,,2017/02/03,0,23,0,23,58,12,テレビ東京
TVWatch.121701302300,ＷＢＳ▽全国６０の鍋から決定！日本一の鍋は▽アップル、スタバがトランプ氏に反発,,2017/01/30,0,23,0,23,58,12,テレビ東京
TVWatch.121703292320,ＷＢＳ▽全席窓側で景色堪能！高級バスツアーが人気▽東芝緊急会見…１兆円超の赤字,,2017/03/29,0,23,20,24,18,12,テレビ東京
TVWatch.121702082300,ＷＢＳ▽喫煙者２５％いた会社が３年で０％に！？▽孫社長…トランプ政権をどう語る？,,2017/02/08,0,23,0,23,58,12,テレビ東京
TVWatch.121702212300,ＷＢＳ▽安倍総理夫人が名誉校長の小学校…予定地に疑惑！？▽民泊マンションが登場,,2017/02/21,0,23,0,23,58,12,テレビ東京
TVWatch.121703032300,ＷＢＳ▽小池ＶＳ石原！？元知事がついに会見▽物価はじわり上昇！？スーパーで価格を検証,,2017/03/03,0,23,0,23,58,12,テレビ東京
TVWatch.121703142300,ＷＢＳ▽東芝社員に直撃！衝撃のアンケート▽ソフトバンク孫社長がサウジ国王と会談,,2017/03/14,0,23,0,23,58,12,テレビ東京
TVWatch.121702092300,ＷＢＳ▽無断キャンセル多発で外食店が苦境に！？▽“大人の習い事”人気ランキング,,2017/02/09,0,23,0,23,58,12,テレビ東京
TVWatch.121702162300,ＷＢＳ▽独自取材！金正男のマカオの自宅周辺は！？▽家事代行の利用者が急増！？,,2017/02/16,0,23,0,23,58,12,テレビ東京
TVWatch.121703162300,ＷＢＳ▽籠池氏証人喚問へ「総理から寄付１００万円」▽買い注文殺到「ほぼ日」上場,,2017/03/16,0,23,0,23,58,12,テレビ東京
TVWatch.121702222300,ＷＢＳ▽花粉症対策や消臭に役立つ！？新物質登場▽新鮮なブリを家庭に！新技術,,2017/02/22,0,23,0,23,58,12,テレビ東京
TVWatch.121702202300,ＷＢＳ▽街全体で大作戦！？商店街の外食店を健康メニューに刷新▽中国人口抑制の余波,,2017/02/20,0,23,0,23,58,12,テレビ東京
TVWatch.121703012300,ＷＢＳ▽親が学ぶ働き方セミナー▽東芝半導体事業にホンハイ会長が出資に意欲,,2017/03/01,0,23,0,23,58,12,テレビ東京
TVWatch.121703102300,ＷＢＳ▽通勤地獄よ…さらば！？座席指定の快適列車を各社が拡充▽朴大統領…罷免か？,,2017/03/10,0,23,0,23,58,12,テレビ東京
TVWatch.121702142300,ＷＢＳ▽速報！金正男氏暗殺か？▽大混乱の東芝…現役社員がその内情を語る,,2017/02/14,0,23,0,23,58,12,テレビ東京
TVWatch.101703231419,Ｗ杯出場へ！今夜サッカー日本代表が決戦！,,2017/03/23,0,14,19,14,30,10,テレビ朝日
TVWatch.61702042623,Ｘ　ＧＡＭＥＳ　２０１７　～世界一過激な真冬の祭典～,,2017/02/04,0,26,23,28,30,6,TBS
TVWatch.121701301855,ＹＯＵは何しに日本へ？■ＹＯＵの年越し一挙大公開…激レア年越し撮ったど～ＳＰ■,,2017/01/30,0,18,55,20,0,12,テレビ東京
TVWatch.121702131855,ＹＯＵは何しに日本へ？■夢抱くＹＯＵに密着したら【凄い巨匠】にガチ遭遇ＳＰ■,,2017/02/13,0,18,55,20,0,12,テレビ東京
TVWatch.121702061855,ＹＯＵは何しに日本へ？■絶景＆職人技【ニッポンの美風景】にＹＯＵウキウキＳＰ■,,2017/02/06,0,18,55,20,0,12,テレビ東京
TVWatch.121703271855,ＹＯＵは何しに日本へ？★プロＹＯＵが怒涛の来日…【ド緊張瞬間】ガチ目撃ＳＰ★,,2017/03/27,0,18,55,20,0,12,テレビ東京
TVWatch.121702201855,ＹＯＵは何しに日本へ？★今夜完結【大陸横断旅】奇跡の出会い２時間スペシャル★,,2017/02/20,0,18,55,21,0,12,テレビ東京
TVWatch.121702271855,ＹＯＵは何しに日本へ？★売るＹＯＵ買うＹＯＵ大集合！ニッポンでイザ勝負ＳＰ★,,2017/02/27,0,18,55,20,0,12,テレビ東京
TVWatch.121703131855,ＹＯＵは何しに日本へ？★感動出産＆激うま極上グルメ…人生ってスバラシイＳＰ★,,2017/03/13,0,18,55,20,0,12,テレビ東京
TVWatch.121703201855,ＹＯＵは何しに日本へ？★春目前！グルメ…引越し…空前絶後のＹＯＵ新生活ＳＰ★,,2017/03/20,0,18,55,20,0,12,テレビ東京
TVWatch.121703061855,ＹＯＵは何しに日本へ？★超ドッキドキ…【時を越え】想いにまかせて大勝負！！ＳＰ★,,2017/03/06,0,18,55,20,0,12,テレビ東京
TVWatch.121702191600,ＹＯＵは何しに日本へ？予習復習ＳＰ★明日よる６時５５分から２時間ＳＰ★,,2017/02/19,0,16,0,17,15,12,テレビ東京
TVWatch.41701302054,ＺＥＲＯ　ＭＩＮＵＴＥ,,2017/01/30,1,20,54,21,0,4,日本テレビ
TVWatch.41701312054,ＺＥＲＯ　ＭＩＮＵＴＥ,,2017/01/31,1,20,54,21,0,4,日本テレビ
TVWatch.41702012054,ＺＥＲＯ　ＭＩＮＵＴＥ,,2017/02/01,1,20,54,21,0,4,日本テレビ
TVWatch.41702022054,ＺＥＲＯ　ＭＩＮＵＴＥ,,2017/02/02,1,20,54,21,0,4,日本テレビ
TVWatch.41702062054,ＺＥＲＯ　ＭＩＮＵＴＥ,,2017/02/06,1,20,54,21,0,4,日本テレビ
TVWatch.41702072054,ＺＥＲＯ　ＭＩＮＵＴＥ,,2017/02/07,1,20,54,21,0,4,日本テレビ
TVWatch.41702082054,ＺＥＲＯ　ＭＩＮＵＴＥ,,2017/02/08,1,20,54,21,0,4,日本テレビ
TVWatch.41702092054,ＺＥＲＯ　ＭＩＮＵＴＥ,,2017/02/09,1,20,54,21,0,4,日本テレビ
TVWatch.41702132054,ＺＥＲＯ　ＭＩＮＵＴＥ,,2017/02/13,1,20,54,21,0,4,日本テレビ
TVWatch.41702142054,ＺＥＲＯ　ＭＩＮＵＴＥ,,2017/02/14,1,20,54,21,0,4,日本テレビ
TVWatch.41702152054,ＺＥＲＯ　ＭＩＮＵＴＥ,,2017/02/15,1,20,54,21,0,4,日本テレビ
TVWatch.41702162054,ＺＥＲＯ　ＭＩＮＵＴＥ,,2017/02/16,1,20,54,21,0,4,日本テレビ
TVWatch.41702202054,ＺＥＲＯ　ＭＩＮＵＴＥ,,2017/02/20,1,20,54,21,0,4,日本テレビ
TVWatch.41702212054,ＺＥＲＯ　ＭＩＮＵＴＥ,,2017/02/21,1,20,54,21,0,4,日本テレビ
TVWatch.41702222054,ＺＥＲＯ　ＭＩＮＵＴＥ,,2017/02/22,1,20,54,21,0,4,日本テレビ
TVWatch.41702232054,ＺＥＲＯ　ＭＩＮＵＴＥ,,2017/02/23,1,20,54,21,0,4,日本テレビ
TVWatch.41703012054,ＺＥＲＯ　ＭＩＮＵＴＥ,,2017/03/01,1,20,54,21,0,4,日本テレビ
TVWatch.41703022054,ＺＥＲＯ　ＭＩＮＵＴＥ,,2017/03/02,1,20,54,21,0,4,日本テレビ
TVWatch.41701300700,ＺＩＰ！（７時から）,,2017/01/30,0,7,0,8,0,4,日本テレビ
TVWatch.41701310700,ＺＩＰ！（７時から）,,2017/01/31,0,7,0,8,0,4,日本テレビ
TVWatch.41702010700,ＺＩＰ！（７時から）,,2017/02/01,0,7,0,8,0,4,日本テレビ
TVWatch.41702020700,ＺＩＰ！（７時から）,,2017/02/02,0,7,0,8,0,4,日本テレビ
TVWatch.41702030700,ＺＩＰ！（７時から）,,2017/02/03,0,7,0,8,0,4,日本テレビ
TVWatch.41702060700,ＺＩＰ！（７時から）,,2017/02/06,0,7,0,8,0,4,日本テレビ
TVWatch.41702070700,ＺＩＰ！（７時から）,,2017/02/07,0,7,0,8,0,4,日本テレビ
TVWatch.41702080700,ＺＩＰ！（７時から）,,2017/02/08,0,7,0,8,0,4,日本テレビ
TVWatch.41702090700,ＺＩＰ！（７時から）,,2017/02/09,0,7,0,8,0,4,日本テレビ
TVWatch.41702100700,ＺＩＰ！（７時から）,,2017/02/10,0,7,0,8,0,4,日本テレビ
TVWatch.41702130700,ＺＩＰ！（７時から）,,2017/02/13,0,7,0,8,0,4,日本テレビ
TVWatch.41702140700,ＺＩＰ！（７時から）,,2017/02/14,0,7,0,8,0,4,日本テレビ
TVWatch.41702150700,ＺＩＰ！（７時から）,,2017/02/15,0,7,0,8,0,4,日本テレビ
TVWatch.41702160700,ＺＩＰ！（７時から）,,2017/02/16,0,7,0,8,0,4,日本テレビ
TVWatch.41702170700,ＺＩＰ！（７時から）,,2017/02/17,0,7,0,8,0,4,日本テレビ
TVWatch.41702200700,ＺＩＰ！（７時から）,,2017/02/20,0,7,0,8,0,4,日本テレビ
TVWatch.41702210700,ＺＩＰ！（７時から）,,2017/02/21,0,7,0,8,0,4,日本テレビ
TVWatch.41702220700,ＺＩＰ！（７時から）,,2017/02/22,0,7,0,8,0,4,日本テレビ
TVWatch.41702230700,ＺＩＰ！（７時から）,,2017/02/23,0,7,0,8,0,4,日本テレビ
TVWatch.41702240700,ＺＩＰ！（７時から）,,2017/02/24,0,7,0,8,0,4,日本テレビ
TVWatch.41702270700,ＺＩＰ！（７時から）,,2017/02/27,0,7,0,8,0,4,日本テレビ
TVWatch.41702280700,ＺＩＰ！（７時から）,,2017/02/28,0,7,0,8,0,4,日本テレビ
TVWatch.41703010700,ＺＩＰ！（７時から）,,2017/03/01,0,7,0,8,0,4,日本テレビ
TVWatch.41703020700,ＺＩＰ！（７時から）,,2017/03/02,0,7,0,8,0,4,日本テレビ
TVWatch.41703030700,ＺＩＰ！（７時から）,,2017/03/03,0,7,0,8,0,4,日本テレビ
TVWatch.41703060700,ＺＩＰ！（７時から）,,2017/03/06,0,7,0,8,0,4,日本テレビ
TVWatch.41703070700,ＺＩＰ！（７時から）,,2017/03/07,0,7,0,8,0,4,日本テレビ
TVWatch.41703080700,ＺＩＰ！（７時から）,,2017/03/08,0,7,0,8,0,4,日本テレビ
TVWatch.41703090700,ＺＩＰ！（７時から）,,2017/03/09,0,7,0,8,0,4,日本テレビ
TVWatch.41703100700,ＺＩＰ！（７時から）,,2017/03/10,0,7,0,8,0,4,日本テレビ
TVWatch.41703130700,ＺＩＰ！（７時から）,,2017/03/13,0,7,0,8,0,4,日本テレビ
TVWatch.41703140700,ＺＩＰ！（７時から）,,2017/03/14,0,7,0,8,0,4,日本テレビ
TVWatch.41703150700,ＺＩＰ！（７時から）,,2017/03/15,0,7,0,8,0,4,日本テレビ
TVWatch.41703160700,ＺＩＰ！（７時から）,,2017/03/16,0,7,0,8,0,4,日本テレビ
TVWatch.41703170700,ＺＩＰ！（７時から）,,2017/03/17,0,7,0,8,0,4,日本テレビ
TVWatch.41703200700,ＺＩＰ！（７時から）,,2017/03/20,0,7,0,8,0,4,日本テレビ
TVWatch.41703210700,ＺＩＰ！（７時から）,,2017/03/21,0,7,0,8,0,4,日本テレビ
TVWatch.41703220700,ＺＩＰ！（７時から）,,2017/03/22,0,7,0,8,0,4,日本テレビ
TVWatch.41703230700,ＺＩＰ！（７時から）,,2017/03/23,0,7,0,8,0,4,日本テレビ
TVWatch.41703240700,ＺＩＰ！（７時から）,,2017/03/24,0,7,0,8,0,4,日本テレビ
TVWatch.41703270700,ＺＩＰ！（７時から）,,2017/03/27,0,7,0,8,0,4,日本テレビ
TVWatch.41703280700,ＺＩＰ！（７時から）,,2017/03/28,0,7,0,8,0,4,日本テレビ
TVWatch.41703290700,ＺＩＰ！（７時から）,,2017/03/29,0,7,0,8,0,4,日本テレビ
TVWatch.41703300700,ＺＩＰ！（７時から）,,2017/03/30,0,7,0,8,0,4,日本テレビ
TVWatch.41703310700,ＺＩＰ！（７時から）,,2017/03/31,0,7,0,8,0,4,日本テレビ
TVWatch.41701300550,ＺＩＰ！（７時まで）,,2017/01/30,0,5,50,7,0,4,日本テレビ
TVWatch.41701310550,ＺＩＰ！（７時まで）,,2017/01/31,0,5,50,7,0,4,日本テレビ
TVWatch.41702010550,ＺＩＰ！（７時まで）,,2017/02/01,0,5,50,7,0,4,日本テレビ
TVWatch.41702020550,ＺＩＰ！（７時まで）,,2017/02/02,0,5,50,7,0,4,日本テレビ
TVWatch.41702030550,ＺＩＰ！（７時まで）,,2017/02/03,0,5,50,7,0,4,日本テレビ
TVWatch.41702060550,ＺＩＰ！（７時まで）,,2017/02/06,0,5,50,7,0,4,日本テレビ
TVWatch.41702070550,ＺＩＰ！（７時まで）,,2017/02/07,0,5,50,7,0,4,日本テレビ
TVWatch.41702080550,ＺＩＰ！（７時まで）,,2017/02/08,0,5,50,7,0,4,日本テレビ
TVWatch.41702090550,ＺＩＰ！（７時まで）,,2017/02/09,0,5,50,7,0,4,日本テレビ
TVWatch.41702100550,ＺＩＰ！（７時まで）,,2017/02/10,0,5,50,7,0,4,日本テレビ
TVWatch.41702130550,ＺＩＰ！（７時まで）,,2017/02/13,0,5,50,7,0,4,日本テレビ
TVWatch.41702140550,ＺＩＰ！（７時まで）,,2017/02/14,0,5,50,7,0,4,日本テレビ
TVWatch.41702150550,ＺＩＰ！（７時まで）,,2017/02/15,0,5,50,7,0,4,日本テレビ
TVWatch.41702160550,ＺＩＰ！（７時まで）,,2017/02/16,0,5,50,7,0,4,日本テレビ
TVWatch.41702170550,ＺＩＰ！（７時まで）,,2017/02/17,0,5,50,7,0,4,日本テレビ
TVWatch.41702200550,ＺＩＰ！（７時まで）,,2017/02/20,0,5,50,7,0,4,日本テレビ
TVWatch.41702210550,ＺＩＰ！（７時まで）,,2017/02/21,0,5,50,7,0,4,日本テレビ
TVWatch.41702220550,ＺＩＰ！（７時まで）,,2017/02/22,0,5,50,7,0,4,日本テレビ
TVWatch.41702230550,ＺＩＰ！（７時まで）,,2017/02/23,0,5,50,7,0,4,日本テレビ
TVWatch.41702240550,ＺＩＰ！（７時まで）,,2017/02/24,0,5,50,7,0,4,日本テレビ
TVWatch.41702270550,ＺＩＰ！（７時まで）,,2017/02/27,0,5,50,7,0,4,日本テレビ
TVWatch.41702280550,ＺＩＰ！（７時まで）,,2017/02/28,0,5,50,7,0,4,日本テレビ
TVWatch.41703010550,ＺＩＰ！（７時まで）,,2017/03/01,0,5,50,7,0,4,日本テレビ
TVWatch.41703020550,ＺＩＰ！（７時まで）,,2017/03/02,0,5,50,7,0,4,日本テレビ
TVWatch.41703030550,ＺＩＰ！（７時まで）,,2017/03/03,0,5,50,7,0,4,日本テレビ
TVWatch.41703060550,ＺＩＰ！（７時まで）,,2017/03/06,0,5,50,7,0,4,日本テレビ
TVWatch.41703070550,ＺＩＰ！（７時まで）,,2017/03/07,0,5,50,7,0,4,日本テレビ
TVWatch.41703080550,ＺＩＰ！（７時まで）,,2017/03/08,0,5,50,7,0,4,日本テレビ
TVWatch.41703090550,ＺＩＰ！（７時まで）,,2017/03/09,0,5,50,7,0,4,日本テレビ
TVWatch.41703100550,ＺＩＰ！（７時まで）,,2017/03/10,0,5,50,7,0,4,日本テレビ
TVWatch.41703130550,ＺＩＰ！（７時まで）,,2017/03/13,0,5,50,7,0,4,日本テレビ
TVWatch.41703140550,ＺＩＰ！（７時まで）,,2017/03/14,0,5,50,7,0,4,日本テレビ
TVWatch.41703150550,ＺＩＰ！（７時まで）,,2017/03/15,0,5,50,7,0,4,日本テレビ
TVWatch.41703160550,ＺＩＰ！（７時まで）,,2017/03/16,0,5,50,7,0,4,日本テレビ
TVWatch.41703170550,ＺＩＰ！（７時まで）,,2017/03/17,0,5,50,7,0,4,日本テレビ
TVWatch.41703200550,ＺＩＰ！（７時まで）,,2017/03/20,0,5,50,7,0,4,日本テレビ
TVWatch.41703210550,ＺＩＰ！（７時まで）,,2017/03/21,0,5,50,7,0,4,日本テレビ
TVWatch.41703220550,ＺＩＰ！（７時まで）,,2017/03/22,0,5,50,7,0,4,日本テレビ
TVWatch.41703230550,ＺＩＰ！（７時まで）,,2017/03/23,0,5,50,7,0,4,日本テレビ
TVWatch.41703240550,ＺＩＰ！（７時まで）,,2017/03/24,0,5,50,7,0,4,日本テレビ
TVWatch.41703270550,ＺＩＰ！（７時まで）,,2017/03/27,0,5,50,7,0,4,日本テレビ
TVWatch.41703280550,ＺＩＰ！（７時まで）,,2017/03/28,0,5,50,7,0,4,日本テレビ
TVWatch.41703290550,ＺＩＰ！（７時まで）,,2017/03/29,0,5,50,7,0,4,日本テレビ
TVWatch.41703300550,ＺＩＰ！（７時まで）,,2017/03/30,0,5,50,7,0,4,日本テレビ
TVWatch.41703310550,ＺＩＰ！（７時まで）,,2017/03/31,0,5,50,7,0,4,日本テレビ
TVWatch.121702231825,アイカツスターズ！「あこ、まっしぐら！」,,2017/02/23,0,18,25,18,55,12,テレビ東京
TVWatch.121702091825,アイカツスターズ！「チョコっと歌にこめる想い☆」,,2017/02/09,0,18,25,18,55,12,テレビ東京
TVWatch.121703161825,アイカツスターズ！「わたしだけの歌」,,2017/03/16,0,18,25,18,55,12,テレビ東京
TVWatch.121703231825,アイカツスターズ！「一番星になれ！」,,2017/03/23,0,18,25,18,55,12,テレビ東京
TVWatch.121703301825,アイカツスターズ！「最強のＬＩＶＥ☆」,,2017/03/30,0,18,25,18,55,12,テレビ東京
TVWatch.121702021825,アイカツスターズ！「幼なじみのふたり」,,2017/02/02,0,18,25,18,55,12,テレビ東京
TVWatch.121702161825,アイカツスターズ！「春の予感♪」,,2017/02/16,0,18,25,18,55,12,テレビ東京
TVWatch.121703021825,アイカツスターズ！「炎のＳ４決定戦！」,,2017/03/02,0,18,25,18,55,12,テレビ東京
TVWatch.121703091825,アイカツスターズ！「香澄姉妹、対決！」　,,2017/03/09,0,18,25,18,55,12,テレビ東京
TVWatch.101702011900,あいつ今何してる？　２時間スペシャル　瀬戸大也／森口博子／大谷亮平,,2017/02/01,1,19,0,20,54,10,テレビ朝日
TVWatch.101703011900,あいつ今何してる？　久保純子／ピース（綾部＆又吉）,,2017/03/01,1,19,0,19,56,10,テレビ朝日
TVWatch.101703221900,あいつ今何してる？　紅白歌合戦２２回出場歌手・伍代夏子＆歌舞伎俳優・尾上松也,,2017/03/22,1,19,0,19,54,10,テレビ朝日
TVWatch.101702151900,あいつ今何してる？　親友と涙の再会ＳＰ　東尾理子／渡辺いっけい,,2017/02/15,1,19,0,19,56,10,テレビ朝日
TVWatch.101702221900,あいつ今何してる？　長嶋一茂／坂下千里子,,2017/02/22,1,19,0,19,56,10,テレビ朝日
TVWatch.81702032600,アイドリアル～アイドルの今を切り取る～＜フジバラナイト　ＦＲＩ＞,,2017/02/03,0,26,0,26,30,8,フジテレビ
TVWatch.81702102600,アイドリアル～アイドルの今を切り取る～＜フジバラナイト　ＦＲＩ＞,,2017/02/10,0,26,0,26,30,8,フジテレビ
TVWatch.81702172705,アイドリアル～アイドルの今を切り取る～＜フジバラナイト　ＦＲＩ＞,,2017/02/17,0,27,5,27,35,8,フジテレビ
TVWatch.81702242610,アイドリアル～アイドルの今を切り取る～＜フジバラナイト　ＦＲＩ＞,,2017/02/24,0,26,10,26,40,8,フジテレビ
TVWatch.81703032715,アイドリアル～アイドルの今を切り取る～＜フジバラナイト　ＦＲＩ＞,,2017/03/03,0,27,15,27,45,8,フジテレビ
TVWatch.81703102645,アイドリアル～アイドルの今を切り取る～＜フジバラナイト　ＦＲＩ＞,,2017/03/10,0,26,45,27,15,8,フジテレビ
TVWatch.81703172745,アイドリアル～アイドルの今を切り取る～＜フジバラナイト　ＦＲＩ＞,,2017/03/17,0,27,45,28,15,8,フジテレビ
TVWatch.81703242540,アイドリアル～アイドルの今を切り取る～＜フジバラナイト　ＦＲＩ＞,,2017/03/24,0,25,40,26,10,8,フジテレビ
TVWatch.81703312530,アイドリアル～アイドルの今を切り取る～＜フジバラナイト　ＦＲＩ＞,,2017/03/31,0,25,30,25,59,8,フジテレビ
TVWatch.101702032655,アイドルお宝くじ,[音楽番組],2017/02/03,0,26,55,27,25,10,テレビ朝日
TVWatch.101702102655,アイドルお宝くじ,[音楽番組],2017/02/10,0,26,55,27,25,10,テレビ朝日
TVWatch.101702172650,アイドルお宝くじ,[音楽番組],2017/02/17,0,26,50,27,20,10,テレビ朝日
TVWatch.101703032655,アイドルお宝くじ,[音楽番組],2017/03/03,0,26,55,27,25,10,テレビ朝日
TVWatch.101703102655,アイドルお宝くじ,[音楽番組],2017/03/10,0,26,55,27,25,10,テレビ朝日
TVWatch.101703172655,アイドルお宝くじ,[音楽番組],2017/03/17,0,26,55,27,25,10,テレビ朝日
TVWatch.101703242655,アイドルお宝くじ,[音楽番組],2017/03/24,0,26,55,27,25,10,テレビ朝日
TVWatch.81703092300,アウト×デラックス【アニマル浜口２００歳まで生きる生活密着▽マツコ最期を語る】,,2017/03/09,0,23,0,23,30,8,フジテレビ
TVWatch.81702022300,アウト×デラックス【マツコが辛口ゴルフレッスンに挑む！その腕前は…？】,,2017/02/02,0,23,0,23,30,8,フジテレビ
TVWatch.81702232300,アウト×デラックス【何でもうろ覚えで周りが困惑している女優・田島令子】,,2017/02/23,0,23,0,23,30,8,フジテレビ
TVWatch.81703022300,アウト×デラックス【奥田瑛二が告白！ミッキーマウスを見ると泣いてしまう…】,,2017/03/02,0,23,0,23,30,8,フジテレビ
TVWatch.81703162300,アウト×デラックス【女優・永野芽郁がミラクルひかるに弟子入り！？モノマネ（秘）特訓】,,2017/03/16,0,23,0,23,30,8,フジテレビ
TVWatch.81702092300,アウト×デラックス【宇宙人に怯える小日向文世が意外すぎる私生活を語る！】,,2017/02/09,0,23,0,23,30,8,フジテレビ
TVWatch.81702162300,アウト×デラックス【山本リンダ、新幹線のスピードが速すぎてこまっちゃう！？】,,2017/02/16,0,23,0,23,30,8,フジテレビ
TVWatch.61703212615,アカデミーナイトＧ　,,2017/03/21,0,26,15,26,55,6,TBS
TVWatch.61702142558,アカデミーナイトＧ　渡辺直美が仲良し芸能人藤田ニコル＆パンサー向井と女子会,,2017/02/14,0,25,58,26,38,6,TBS
TVWatch.61703282710,アカデミーナイトＧ　渡辺直美のぽっちゃり女子会！中条あやみ＆髙橋大輔に直撃,,2017/03/28,0,27,10,27,50,6,TBS
TVWatch.61702212709,アカデミーナイトＧ　渡辺直美の芸人女子会！パンサー向井＆藤田ニコルの恋愛観,,2017/02/21,0,27,9,27,49,6,TBS
TVWatch.61702072558,アカデミーナイトＧ　渡辺直美の芸人女子会…好きな人と××で破局！？恋愛暴露,,2017/02/07,0,25,58,26,38,6,TBS
TVWatch.61702282613,アカデミーナイトＧ　渡辺直美の芸人女子会…広瀬すず（秘）ぶっちゃけ暴露ＳＰ,,2017/02/28,0,26,13,26,53,6,TBS
TVWatch.61703132620,アカデミーナイトＧ　渡辺直美の芸人女子会…広瀬すずの女子力＆意外な素顔暴露,,2017/03/13,0,26,20,27,0,6,TBS
TVWatch.61701312708,アカデミーナイトＧ　渡辺直美の芸人女子会…関ジャニ∞安田＆人気芸人みやぞん,,2017/01/31,0,27,8,27,48,6,TBS
TVWatch.61703142703,アカデミーナイトＧ　超人気俳優直撃ＳＰ！広瀬すず＆関ジャニ安田,,2017/03/14,0,27,3,27,43,6,TBS
TVWatch.11702230815,あさイチ「ＪＡＰＡ－ＮＡＶＩ　あなたも食べている！佐賀の味」,,2017/02/23,0,8,15,9,55,1,NHK
TVWatch.11703160815,あさイチ「ＪＡＰＡ－ＮＡＶＩ　埼玉・越谷市」,,2017/03/16,0,8,15,9,55,1,NHK
TVWatch.11702080815,あさイチ「ＪＡＰＡ－ＮＡＶＩ　壇蜜、京都へ行く」,,2017/02/08,0,8,15,9,55,1,NHK
TVWatch.11703300815,あさイチ「ＪＡＰＡ－ＮＡＶＩ　奈良」,,2017/03/30,0,8,15,9,55,1,NHK
TVWatch.11703090815,あさイチ「ＪＡＰＡ－ＮＡＶＩ　富山」,,2017/03/09,0,8,15,9,55,1,NHK
TVWatch.11703020815,あさイチ「ＪＡＰＡ－ＮＡＶＩ　山形・庄内地方」,,2017/03/02,0,8,15,8,55,1,NHK
TVWatch.11702160815,あさイチ「ＪＡＰＡ－ＮＡＶＩ　福岡・糸島」,,2017/02/16,0,8,15,9,55,1,NHK
TVWatch.11702020815,あさイチ「ＪＡＰＡ－ＮＡＶＩ　静岡・下田」,,2017/02/02,0,8,15,8,55,1,NHK
TVWatch.11703280815,あさイチ「イチおし　キヌア」,,2017/03/28,0,8,15,8,55,1,NHK
TVWatch.11703060815,あさイチ「キウイの、新たな地平。」,,2017/03/06,0,8,15,8,55,1,NHK
TVWatch.11702220815,あさイチ「キッチングッズ向上委員会“まな板”」,,2017/02/22,0,8,15,9,55,1,NHK
TVWatch.11703130815,あさイチ「ここが肝心！親の介護でつまずかない」,,2017/03/13,0,8,15,8,55,1,NHK
TVWatch.11703270815,あさイチ「スーパー主婦　ザ・ワールド」,,2017/03/27,0,8,15,8,55,1,NHK
TVWatch.11702270815,あさイチ「スゴイぞ！こんにゃく」,,2017/02/27,0,8,15,9,55,1,NHK
TVWatch.11701310815,あさイチ「スゴ技Ｑ　これから食べ頃！カキ料理決定版！」,,2017/01/31,0,8,15,8,55,1,NHK
